epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
60;3146,370;1,10919;0,71401;0,00668;0,89661;0,87681;0,92954;0,63503;1,17444;0,52224;0,00809;0,02415900;0,00805300;0,02415900;0,00805300;0,02415900;0,00805300;0,02415900;0,00805300
61;3558,030;1,10857;0,70857;0,00668;0,89668;0,87931;0,92972;0,63466;1,17787;0,50909;0,00816;0,02406000;0,00802000;0,02406000;0,00802000;0,02406000;0,00802000;0,02406000;0,00802000
62;3835,950;1,12044;0,72975;0,00675;0,88979;0,87824;0,92629;0,63356;1,17299;0,51889;0,00815;0,02396100;0,00798700;0,02396100;0,00798700;0,02396100;0,00798700;0,02396100;0,00798700
63;4115,850;1,13460;0,74791;0,00690;0,91322;0,85732;0,92743;0,63556;1,17020;0,51412;0,00813;0,02386200;0,00795400;0,02386200;0,00795400;0,02386200;0,00795400;0,02386200;0,00795400
64;4395,740;1,13392;0,74960;0,00691;0,89578;0,87456;0,92721;0,63560;1,16785;0,51373;0,00809;0,02376300;0,00792100;0,02376300;0,00792100;0,02376300;0,00792100;0,02376300;0,00792100
65;4676,810;1,13199;0,74244;0,00688;0,90735;0,86353;0,92965;0,63866;1,16713;0,51287;0,00810;0,02366400;0,00788800;0,02366400;0,00788800;0,02366400;0,00788800;0,02366400;0,00788800
66;4956,460;1,12525;0,74046;0,00691;0,91185;0,86469;0,93026;0,63958;1,16418;0,51268;0,00811;0,02356500;0,00785500;0,02356500;0,00785500;0,02356500;0,00785500;0,02356500;0,00785500
67;5236,930;1,11882;0,74237;0,00687;0,89300;0,87975;0,92934;0,64020;1,16302;0,51053;0,00809;0,02346600;0,00782200;0,02346600;0,00782200;0,02346600;0,00782200;0,02346600;0,00782200
68;5517,640;1,11385;0,73506;0,00678;0,89555;0,87820;0,93041;0,64260;1,16247;0,51230;0,00806;0,02336700;0,00778900;0,02336700;0,00778900;0,02336700;0,00778900;0,02336700;0,00778900
69;5798,300;1,10889;0,72059;0,00672;0,90493;0,86782;0,93162;0,64206;1,16201;0,51347;0,00803;0,02326800;0,00775600;0,02326800;0,00775600;0,02326800;0,00775600;0,02326800;0,00775600
70;6078,930;1,11262;0,72191;0,00668;0,90188;0,87269;0,93247;0,64292;1,16098;0,50911;0,00804;0,02316900;0,00772300;0,02316900;0,00772300;0,02316900;0,00772300;0,02316900;0,00772300
71;6358,680;1,10867;0,71601;0,00670;0,90593;0,87114;0,93329;0,64445;1,15771;0,50941;0,00802;0,02307000;0,00769000;0,02307000;0,00769000;0,02307000;0,00769000;0,02307000;0,00769000
72;6638,320;1,10528;0,71427;0,00662;0,89281;0,88886;0,93249;0,64610;1,15518;0,50318;0,00799;0,02297100;0,00765700;0,02297100;0,00765700;0,02297100;0,00765700;0,02297100;0,00765700
73;6918,410;1,10194;0,70313;0,00662;0,89487;0,88729;0,93344;0,64794;1,15092;0,50435;0,00796;0,02287200;0,00762400;0,02287200;0,00762400;0,02287200;0,00762400;0,02287200;0,00762400
74;7198,080;1,09571;0,70982;0,00666;0,90376;0,88103;0,93315;0,64883;1,14645;0,50466;0,00788;0,02277300;0,00759100;0,02277300;0,00759100;0,02277300;0,00759100;0,02277300;0,00759100
75;7477,940;1,09652;0,70822;0,00659;0,90107;0,88217;0,93280;0,64860;1,14707;0,50027;0,00790;0,02267400;0,00755800;0,02267400;0,00755800;0,02267400;0,00755800;0,02267400;0,00755800
76;7757,570;1,09366;0,69968;0,00664;0,89168;0,89318;0,93403;0,64866;1,14456;0,50001;0,00788;0,02257500;0,00752500;0,02257500;0,00752500;0,02257500;0,00752500;0,02257500;0,00752500
77;8036,640;1,09032;0,70291;0,00661;0,90521;0,88666;0,93485;0,64985;1,14219;0,49726;0,00786;0,02247600;0,00749200;0,02247600;0,00749200;0,02247600;0,00749200;0,02247600;0,00749200
78;8317,030;1,08790;0,69671;0,00646;0,91166;0,88095;0,93472;0,65036;1,14076;0,49814;0,00783;0,02237700;0,00745900;0,02237700;0,00745900;0,02237700;0,00745900;0,02237700;0,00745900
79;8597,540;1,09214;0,69992;0,00651;0,90459;0,88567;0,93573;0,65255;1,13620;0,49795;0,00777;0,02227800;0,00742600;0,02227800;0,00742600;0,02227800;0,00742600;0,02227800;0,00742600
80;8877,150;1,07858;0,68859;0,00649;0,90933;0,88575;0,93577;0,65255;1,13561;0,49534;0,00776;0,02217900;0,00739300;0,02217900;0,00739300;0,02217900;0,00739300;0,02217900;0,00739300
81;9158,040;1,08045;0,68929;0,00642;0,90975;0,88986;0,93683;0,65377;1,13329;0,48928;0,00775;0,02208000;0,00736000;0,02208000;0,00736000;0,02208000;0,00736000;0,02208000;0,00736000
82;9436,700;1,07786;0,68416;0,00647;0,90596;0,88672;0,93580;0,65413;1,13161;0,49275;0,00776;0,02198100;0,00732700;0,02198100;0,00732700;0,02198100;0,00732700;0,02198100;0,00732700
83;9715,270;1,06785;0,68247;0,00642;0,90544;0,88806;0,93713;0,65543;1,12897;0,48995;0,00771;0,02188200;0,00729400;0,02188200;0,00729400;0,02188200;0,00729400;0,02188200;0,00729400
84;9994,110;1,07540;0,68326;0,00645;0,90956;0,88928;0,93727;0,65659;1,12588;0,48817;0,00771;0,02178300;0,00726100;0,02178300;0,00726100;0,02178300;0,00726100;0,02178300;0,00726100
85;10273,400;1,06782;0,66588;0,00639;0,90529;0,88962;0,93704;0,65713;1,12337;0,49085;0,00769;0,02168400;0,00722800;0,02168400;0,00722800;0,02168400;0,00722800;0,02168400;0,00722800
86;10554,000;1,07066;0,67052;0,00641;0,90823;0,88925;0,93685;0,65775;1,12135;0,48976;0,00768;0,02158500;0,00719500;0,02158500;0,00719500;0,02158500;0,00719500;0,02158500;0,00719500
87;10833,600;1,05977;0,66817;0,00633;0,90788;0,89149;0,93771;0,65879;1,12097;0,48603;0,00766;0,02148600;0,00716200;0,02148600;0,00716200;0,02148600;0,00716200;0,02148600;0,00716200
